ORDEM;VENDA_ID;VENDA_DATA;VENDA_ANO;VENDA_MES;VENDA_STATUS;VENDA_TAMANHO;VENDA_PEDIDO;VENDA_ITEM;VENDA_QTDE;VENDA_TOTAL;PRECO_UNITARIO;PRECO_SUGERIDO;PRODUTO_CODIGO;PRODUTO_LINHA;CLIENTE_CODIGO;CLIENTE_NOME;CLIENTE_FONE;CLIENTE_ENDERECO;CLIENTE_COMPLEMENTO;CLIENTE_CIDADE;CLIENTE_ESTADO;CLIENTE_PAIS;CLIENTE_TERRITORIO;CONTATO_NOME;CONTATO_SOBRENOME
470;10356;12/09/2004;2004;12;Enviado;Médio;4;8;43;4196.8;97.6;141;S18_1129;Carros Novos;C75508;Lyon Souveniers;F.+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;França;Europa, Oriente Médio e África;Daniel;Da Cunha
471;10365;01/07/2005;2005;1;Enviado;Pequeno;1;1;30;2611.8;87.06;141;S18_1129;Carros Novos;C50553;Mini Creations Ltd.;F.5085559555;4575 Hillside Dr.;;New Bedford;MA;Estados Unidos;América do Norte;Wing C;Tam
472;10377;02/09/2005;2005;2;Enviado;Médio;1;2;35;5895.05;100;141;S18_1129;Carros Novos;C21240;Toys of Finland, Co.;F.90-224 8555;Keskuskatu 45;;Helsinki;;Finlandia;Europa, Oriente Médio e África;Matti;Karttunen
473;10390;03/04/2005;2005;3;Enviado;Médio;1;14;36;3375.72;93.77;141;S18_1129;Carros Novos;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
474;10406;4/15/2005;2005;4;Disputado;Grande;2;3;61;8374.69;100;141;S18_1129;Carros Novos;C1734;Danish Wholesale Imports;F.31 12 3555;Vinb'ltet 34;;Kobenhavn;;Dinamarca;Europa, Oriente Médio e África;Jytte;Petersen
475;10419;5/17/2005;2005;5;Enviado;Médio;2;5;38;4464.24;100;141;S18_1129;Carros Novos;C5020;Salzburg Collectables;F.6562-9555;Geislweg 14;;Salzburg;;Áustria;Europa, Oriente Médio e África;Georg;Pipps
476;10102;01/10/2003;2003;1;Enviado;Médio;1;2;39;4808.31;100;102;S18_1342;Carros Usados;C10022;Vitachrome Inc.;F.2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;Estados Unidos;América do Norte;Michael;Frick
477;10111;3/25/2003;2003;3;Enviado;Médio;1;6;33;3288.78;99.66;102;S18_1342;Carros Usados;;Mini Wheels Co.;F.6505555787;5557 North Pendale Street;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Murphy
478;10125;5/21/2003;2003;5;Enviado;Médio;2;1;32;3254.72;100;102;S18_1342;Carros Usados;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
479;10139;7/16/2003;2003;7;Enviado;Médio;3;7;31;3184.94;100;102;S18_1342;Carros Usados;C2067;Souveniers And Things Co.;F.+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;Austrália;Ásia-Pacífico;Adrian;Huxley
480;10149;09/12/2003;2003;9;Enviado;Médio;3;4;50;5907.5;100;102;S18_1342;Carros Usados;C94217;Signal Collectibles Ltd.;F.4155554312;2793 Furth Circle;;Brisbane;CA;Estados Unidos;América do Norte;Sue;Taylor
481;10162;10/18/2003;2003;10;Enviado;Médio;4;2;48;4389.12;91.44;102;S18_1342;Carros Usados;;Corporate Gift Ideas Co.;F.6505551386;7734 Strong St.;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Brown
482;10173;11/05/2003;2003;11;Enviado;Médio;4;6;43;5036.16;100;102;S18_1342;Carros Usados;C24100;Rovelli Gifts;F.035-640555;Via Ludovico il Moro 22;;Bergamo;;Itália;Europa, Oriente Médio e África;Giovanni;Rovelli
483;10182;11/12/2003;2003;11;Enviado;Pequeno;4;3;25;2183.25;87.33;102;S18_1342;Carros Usados;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
484;10193;11/21/2003;2003;11;Enviado;Médio;4;7;28;3106.88;100;102;S18_1342;Carros Usados;C3150;Australian Collectables, Ltd;F.61-9-3844-6555;7 Allen Street;;Glen Waverly;Victoria;Austrália;Ásia-Pacífico;Sean;Connery
485;10205;12/03/2003;2003;12;Enviado;Médio;4;2;36;3735.72;100;102;S18_1342;Carros Usados;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
486;10215;1/29/2004;2004;1;Enviado;Pequeno;1;10;27;2413.26;89.38;102;S18_1342;Carros Usados;C94019;West Coast Collectables Co.;F.3105553722;3675 Furth Circle;;Burbank;CA;Estados Unidos;América do Norte;Steve;Thompson
487;10227;03/02/2004;2004;3;Enviado;Pequeno;1;3;25;2953.75;100;102;S18_1342;Carros Usados;C69004;Saveley & Henriot, Co.;F.78.32.5555;2, rue du Commerce;;Lyon;;França;Europa, Oriente Médio e África;Mary;Saveley
488;10244;4/29/2004;2004;4;Enviado;Médio;2;7;40;4684.8;100;102;S18_1342;Carros Usados;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
489;10256;06/08/2004;2004;6;Enviado;Médio;2;2;34;3248.7;95.55;102;S18_1342;Carros Usados;C1734;Danish Wholesale Imports;F.31 12 3555;Vinb'ltet 34;;Kobenhavn;;Dinamarca;Europa, Oriente Médio e África;Jytte;Petersen
490;10280;8/17/2004;2004;8;Enviado;Médio;3;9;50;5239.5;100;102;S18_1342;Carros Usados;C10100;Amica Models & Co.;F.011-4988555;Via Monte Bianco 34;;Torino;;Itália;Europa, Oriente Médio e África;Paolo;Accorti
491;10289;09/03/2004;2004;9;Enviado;Médio;3;2;38;4567.98;100;102;S18_1342;Carros Usados;CN 5804;Herkku Gifts;F.+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;Noruega;Europa, Oriente Médio e África;Veysel;Oeztan
492;10304;10/11/2004;2004;10;Enviado;Médio;4;13;37;3535.35;95.55;102;S18_1342;Carros Usados;C78000;Auto Assoc. & Cie.;F.30.59.8555;67, avenue de l'Europe;;Versailles;;França;Europa, Oriente Médio e África;Daniel;Tonini
493;10312;10/21/2004;2004;10;Enviado;Médio;4;10;43;3843.34;89.38;102;S18_1342;Carros Usados;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
494;10322;11/04/2004;2004;11;Enviado;Médio;4;14;43;3710.9;86.3;102;S18_1342;Carros Usados;C62005;Online Diecast Creations Co.;F.6035558647;2304 Long Airport Avenue;;Nashua;NH;Estados Unidos;América do Norte;Valarie;Young
495;10332;11/17/2004;2004;11;Enviado;Médio;4;15;46;4375.98;95.13;102;S18_1342;Carros Usados;CEC2 5NT;AV Stores, Co.;F.(171) 555-1555;Fauntleroy Circus;;Manchester;;Reino Unido;Europa, Oriente Médio e África;Victoria;Ashworth
496;10346;11/29/2004;2004;11;Enviado;Pequeno;4;3;42;1516.62;36.11;102;S18_1342;Carros Usados;C83030;Signal Gift Stores;F.7025551838;8489 Strong St.;;Las Vegas;NV;Estados Unidos;América do Norte;Sue;King
497;10356;12/09/2004;2004;12;Enviado;Pequeno;4;9;50;2509;50.18;102;S18_1342;Carros Usados;C75508;Lyon Souveniers;F.+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;França;Europa, Oriente Médio e África;Daniel;Da Cunha
498;10369;1/20/2005;2005;1;Enviado;Grande;1;8;44;9240.44;100;102;S18_1342;Carros Usados;C58339;Collectables For Less Inc.;F.6175558555;7825 Douglas Av.;;Brickhaven;MA;Estados Unidos;América do Norte;Allen;Nelson
499;10380;2/16/2005;2005;2;Enviado;Pequeno;1;13;27;2515.32;93.16;102;S18_1342;Carros Usados;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
500;10391;03/09/2005;2005;3;Enviado;Médio;1;2;35;5548.9;100;102;S18_1342;Carros Usados;C2060;Anna's Decorations, Ltd;F.02 9936 8555;201 Miller Street;Level 15;North Sydney;NSW;Austrália;Ásia-Pacífico;Anna;O'Hara
501;10422;5/30/2005;2005;5;Processando;Médio;2;2;51;4873.05;95.55;102;S18_1342;Carros Usados;C70267;Diecast Classics Inc.;F.2155551555;7586 Pompton St.;;Allentown;PA;Estados Unidos;América do Norte;Kyung;Yu
502;10102;01/10/2003;2003;1;Enviado;Pequeno;1;1;41;2055.74;50.14;53;S18_1367;Carros Usados;C10022;Vitachrome Inc.;F.2125551500;2678 Kingston Rd.;Suite 101;NYC;NY;Estados Unidos;América do Norte;Michael;Frick
503;10111;3/25/2003;2003;3;Enviado;Pequeno;1;5;48;2354.88;49.06;53;S18_1367;Carros Usados;;Mini Wheels Co.;F.6505555787;5557 North Pendale Street;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Murphy
504;10126;5/28/2003;2003;5;Enviado;Pequeno;2;17;42;2309.58;54.99;53;S18_1367;Carros Usados;C28023;Corrida Auto Replicas, Ltd;F.(91) 555 22 82;C/ Araquil, 67;;Madrid;;Espanha;Europa, Oriente Médio e África;Mart¡n;Sommer
505;10139;7/16/2003;2003;7;Enviado;Pequeno;3;6;49;2113.37;43.13;53;S18_1367;Carros Usados;C2067;Souveniers And Things Co.;F.+61 2 9495 8555;Monitor Money Building, 815 Pacific Hwy;Level 6;Chatswood;NSW;Austrália;Ásia-Pacífico;Adrian;Huxley
506;10149;09/12/2003;2003;9;Enviado;Pequeno;3;3;30;1746.6;58.22;53;S18_1367;Carros Usados;C94217;Signal Collectibles Ltd.;F.4155554312;2793 Furth Circle;;Brisbane;CA;Estados Unidos;América do Norte;Sue;Taylor
507;10162;10/18/2003;2003;10;Enviado;Pequeno;4;1;45;2304.45;51.21;53;S18_1367;Carros Usados;;Corporate Gift Ideas Co.;F.6505551386;7734 Strong St.;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Brown
508;10173;11/05/2003;2003;11;Enviado;Pequeno;4;5;48;2122.08;44.21;53;S18_1367;Carros Usados;C24100;Rovelli Gifts;F.035-640555;Via Ludovico il Moro 22;;Bergamo;;Itália;Europa, Oriente Médio e África;Giovanni;Rovelli
509;10182;11/12/2003;2003;11;Enviado;Pequeno;4;2;32;1742.4;54.45;53;S18_1367;Carros Usados;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
510;10193;11/21/2003;2003;11;Enviado;Pequeno;4;6;46;2455.02;53.37;53;S18_1367;Carros Usados;C3150;Australian Collectables, Ltd;F.61-9-3844-6555;7 Allen Street;;Glen Waverly;Victoria;Austrália;Ásia-Pacífico;Sean;Connery
511;10205;12/03/2003;2003;12;Enviado;Médio;4;1;48;3053.28;63.61;53;S18_1367;Carros Usados;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
512;10215;1/29/2004;2004;1;Enviado;Pequeno;1;9;33;1423.29;43.13;53;S18_1367;Carros Usados;C94019;West Coast Collectables Co.;F.3105553722;3675 Furth Circle;;Burbank;CA;Estados Unidos;América do Norte;Steve;Thompson
513;10227;03/02/2004;2004;3;Enviado;Pequeno;1;2;31;1504.12;48.52;53;S18_1367;Carros Usados;C69004;Saveley & Henriot, Co.;F.78.32.5555;2, rue du Commerce;;Lyon;;França;Europa, Oriente Médio e África;Mary;Saveley
514;10244;4/29/2004;2004;4;Enviado;Pequeno;2;6;20;1164.4;58.22;53;S18_1367;Carros Usados;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
515;10256;06/08/2004;2004;6;Enviado;Pequeno;2;1;29;1500.75;51.75;53;S18_1367;Carros Usados;C1734;Danish Wholesale Imports;F.31 12 3555;Vinb'ltet 34;;Kobenhavn;;Dinamarca;Europa, Oriente Médio e África;Jytte;Petersen
516;10280;8/17/2004;2004;8;Enviado;Pequeno;3;8;27;1557.36;57.68;53;S18_1367;Carros Usados;C10100;Amica Models & Co.;F.011-4988555;Via Monte Bianco 34;;Torino;;Itália;Europa, Oriente Médio e África;Paolo;Accorti
517;10289;09/03/2004;2004;9;Enviado;Pequeno;3;1;24;1345.68;56.07;53;S18_1367;Carros Usados;CN 5804;Herkku Gifts;F.+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;Noruega;Europa, Oriente Médio e África;Veysel;Oeztan
518;10304;10/11/2004;2004;10;Enviado;Pequeno;4;12;37;1795.24;48.52;53;S18_1367;Carros Usados;C78000;Auto Assoc. & Cie.;F.30.59.8555;67, avenue de l'Europe;;Versailles;;França;Europa, Oriente Médio e África;Daniel;Tonini
519;10312;10/21/2004;2004;10;Enviado;Pequeno;4;9;25;1105.25;44.21;53;S18_1367;Carros Usados;C97562;Mini Gifts Distributors Ltd.;F.4155551450;5677 Strong St.;;San Rafael;CA;Estados Unidos;América do Norte;Valarie;Nelson
520;10322;11/04/2004;2004;11;Enviado;Pequeno;4;5;41;2364.88;57.68;53;S18_1367;Carros Usados;C62005;Online Diecast Creations Co.;F.6035558647;2304 Long Airport Avenue;;Nashua;NH;Estados Unidos;América do Norte;Valarie;Young
521;10332;11/17/2004;2004;11;Enviado;Pequeno;4;16;27;2427.03;89.89;53;S18_1367;Carros Usados;CEC2 5NT;AV Stores, Co.;F.(171) 555-1555;Fauntleroy Circus;;Manchester;;Reino Unido;Europa, Oriente Médio e África;Victoria;Ashworth
522;10347;11/29/2004;2004;11;Enviado;Pequeno;4;7;21;1237.95;58.95;53;S18_1367;Carros Usados;C3004;Australian Collectors, Co.;F.03 9520 4555;636 St Kilda Road;Level 3;Melbourne;Victoria;Austrália;Ásia-Pacífico;Peter;Ferguson
523;10356;12/09/2004;2004;12;Enviado;Pequeno;4;6;22;1593.02;72.41;53;S18_1367;Carros Usados;C75508;Lyon Souveniers;F.+33 1 46 62 7555;27 rue du Colonel Pierre Avia;;Paris;;França;Europa, Oriente Médio e África;Daniel;Da Cunha
524;10369;1/20/2005;2005;1;Enviado;Médio;1;7;32;3156.16;98.63;53;S18_1367;Carros Usados;C58339;Collectables For Less Inc.;F.6175558555;7825 Douglas Av.;;Brickhaven;MA;Estados Unidos;América do Norte;Allen;Nelson
525;10381;2/17/2005;2005;2;Enviado;Pequeno;1;9;25;1320.75;52.83;53;S18_1367;Carros Usados;;Corporate Gift Ideas Co.;F.6505551386;7734 Strong St.;;San Francisco;CA;Estados Unidos;América do Norte;Julie;Brown
526;10391;03/09/2005;2005;3;Enviado;Médio;1;3;42;4998;100;53;S18_1367;Carros Usados;C2060;Anna's Decorations, Ltd;F.02 9936 8555;201 Miller Street;Level 15;North Sydney;NSW;Austrália;Ásia-Pacífico;Anna;O'Hara
527;10422;5/30/2005;2005;5;Processando;Pequeno;2;1;25;1293.75;51.75;53;S18_1367;Carros Usados;C70267;Diecast Classics Inc.;F.2155551555;7586 Pompton St.;;Allentown;PA;Estados Unidos;América do Norte;Kyung;Yu
528;10110;3/18/2003;2003;3;Enviado;Médio;1;16;37;5433.08;100;124;S18_1589;Carros Novos;CEC2 5NT;AV Stores, Co.;F.(171) 555-1555;Fauntleroy Circus;;Manchester;;Reino Unido;Europa, Oriente Médio e África;Victoria;Ashworth
529;10123;5/20/2003;2003;5;Enviado;Médio;2;2;26;3073.72;100;124;S18_1589;Carros Novos;C44000;Atelier graphique;F.40.32.2555;54, rue Royale;;Nantes;;França;Europa, Oriente Médio e África;Carine;Schmitt
530;10137;07/10/2003;2003;7;Enviado;Médio;3;2;44;4380.2;99.55;124;S18_1589;Carros Novos;C51100;Reims Collectables;F.26.47.1555;59 rue de l'Abbaye;;Reims;;França;Europa, Oriente Médio e África;Paul;Henriot
531;10148;09/11/2003;2003;9;Enviado;Médio;3;9;47;5848.68;100;124;S18_1589;Carros Novos;C2060;Anna's Decorations, Ltd;F.02 9936 8555;201 Miller Street;Level 15;North Sydney;NSW;Austrália;Ásia-Pacífico;Anna;O'Hara
532;10161;10/17/2003;2003;10;Enviado;Médio;4;8;43;6153.73;100;124;S18_1589;Carros Novos;C8200;Heintze Collectables;F.86 21 3555;Smagsloget 45;;Aaarhus;;Dinamarca;Europa, Oriente Médio e África;Palle;Ibsen
533;10172;11/05/2003;2003;11;Enviado;Médio;4;6;42;4965.24;100;124;S18_1589;Carros Novos;C97562;Gift Depot Inc.;F.2035552570;25593 South Bay Ln.;;Bridgewater;CT;Estados Unidos;América do Norte;Julie;King
534;10181;11/12/2003;2003;11;Enviado;Médio;4;2;42;5435.64;100;124;S18_1589;Carros Novos;CN 5804;Herkku Gifts;F.+47 2267 3215;Drammen 121, PR 744 Sentrum;;Bergen;;Noruega;Europa, Oriente Médio e África;Veysel;Oeztan
535;10192;11/20/2003;2003;11;Enviado;Médio;4;7;29;4258.36;100;124;S18_1589;Carros Novos;C62005;Online Diecast Creations Co.;F.6035558647;2304 Long Airport Avenue;;Nashua;NH;Estados Unidos;América do Norte;Valarie;Young
536;10204;12/02/2003;2003;12;Enviado;Médio;4;13;40;4032;100;124;S18_1589;Carros Novos;C10022;Muscle Machine Inc;F.2125557413;4092 Furth Circle;Suite 400;NYC;NY;Estados Unidos;América do Norte;Jeff;Young
537;10212;1/16/2004;2004;1;Enviado;Médio;1;6;38;4492.36;100;124;S18_1589;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
538;10226;2/26/2004;2004;2;Enviado;Médio;1;4;38;4161.38;100;124;S18_1589;Carros Novos;C91217;Collectable Mini Designs Co.;F.7605558146;361 Furth Circle;;San Diego;CA;Estados Unidos;América do Norte;Valarie;Thompson
539;10241;4/13/2004;2004;4;Enviado;Pequeno;2;11;21;2508.66;100;124;S18_1589;Carros Novos;C67000;Mini Caravy;F.88.60.1555;24, place Kluber;;Strasbourg;;França;Europa, Oriente Médio e África;Frederique;Citeaux
540;10253;06/01/2004;2004;6;Cancelado;Médio;2;1;24;3374.88;100;124;S18_1589;Carros Novos;CWX1 6LT;UK Collectables, Ltd.;F.(171) 555-2282;Berkeley Gardens 12  Brewery;;Liverpool;;Reino Unido;Europa, Oriente Médio e África;Elizabeth;Devon
541;10266;07/06/2004;2004;7;Enviado;Médio;3;2;36;5196.6;100;124;S18_1589;Carros Novos;C42100;L'ordine Souveniers;F.0522-556555;Strada Provinciale 124;;Reggio Emilia;;Itália;Europa, Oriente Médio e África;Maurizio;Moroni
542;10278;08/06/2004;2004;8;Enviado;Pequeno;3;2;23;2604.52;100;124;S18_1589;Carros Novos;C83030;Signal Gift Stores;F.7025551838;8489 Strong St.;;Las Vegas;NV;Estados Unidos;América do Norte;Sue;King
543;10288;09/01/2004;2004;9;Enviado;Pequeno;3;14;20;2936.8;100;124;S18_1589;Carros Novos;C69045;Handji Gifts& Co;F.+65 224 1555;Village Close - 106 Linden Road Sandown;2nd Floor;Singapore;;Singapura;Ásia-Pacífico;Wendy;Victorino
544;10301;10/05/2003;2003;10;Enviado;Médio;4;4;32;3424.64;100;124;S18_1589;Carros Novos;CN 0106;Norway Gifts By Mail, Co.;F.+47 2212 1555;Drammensveien 126 A, PB 744 Sentrum;;Oslo;;Noruega;Europa, Oriente Médio e África;Jan;Klaeboe
545;10311;10/16/2004;2004;10;Enviado;Pequeno;4;9;29;2923.2;100;124;S18_1589;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
546;10321;11/04/2004;2004;11;Enviado;Médio;4;6;44;4489.76;100;124;S18_1589;Carros Novos;C50553;FunGiftIdeas.com;F.5085552555;1785 First Street;;New Bedford;MA;Estados Unidos;América do Norte;Violeta;Benitez
547;10331;11/17/2004;2004;11;Enviado;Médio;4;14;44;4849.24;100;124;S18_1589;Carros Novos;C71270;Motor Mint Distributors Inc.;F.2155559857;11328 Douglas Av.;;Philadelphia;PA;Estados Unidos;América do Norte;Rosa;Hernandez
548;10343;11/24/2004;2004;11;Enviado;Médio;4;4;36;5848.92;100;124;S18_1589;Carros Novos;C51100;Reims Collectables;F.26.47.1555;59 rue de l'Abbaye;;Reims;;França;Europa, Oriente Médio e África;Paul;Henriot
549;10367;01/12/2005;2005;1;Resolvido;Pequeno;1;1;49;2758.7;56.3;124;S18_1589;Carros Novos;C90003;Toys4GrownUps.com;F.6265557265;78934 Hillside Dr.;;Pasadena;CA;Estados Unidos;América do Norte;Julie;Young
550;10378;02/10/2005;2005;2;Enviado;Pequeno;1;5;34;1449.76;42.64;124;S18_1589;Carros Novos;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
551;10407;4/22/2005;2005;4;Aguardando;Grande;2;11;59;7048.14;100;124;S18_1589;Carros Novos;C94217;The Sharp Gifts Warehouse;F.4085553659;3086 Ingle Ln.;;San Jose;CA;Estados Unidos;América do Norte;Sue;Frick
552;10419;5/17/2005;2005;5;Enviado;Médio;2;1;37;5202.94;100;124;S18_1589;Carros Novos;C5020;Salzburg Collectables;F.6562-9555;Geislweg 14;;Salzburg;;Áustria;Europa, Oriente Médio e África;Georg;Pipps
553;10106;2/17/2003;2003;2;Enviado;Médio;1;12;36;5279.4;100;157;S18_1662;Aviões;C24100;Rovelli Gifts;F.035-640555;Via Ludovico il Moro 22;;Bergamo;;Itália;Europa, Oriente Médio e África;Giovanni;Rovelli
554;10119;4/28/2003;2003;4;Enviado;Médio;2;3;43;6916.12;100;157;S18_1662;Aviões;C5020;Salzburg Collectables;F.6562-9555;Geislweg 14;;Salzburg;;Áustria;Europa, Oriente Médio e África;Georg;Pipps
555;10131;6/16/2003;2003;6;Enviado;Pequeno;2;4;21;2781.66;100;157;S18_1662;Aviões;C97561;Gift Ideas Corp.;F.2035554407;2440 Pompton St.;;Glendale;CT;Estados Unidos;América do Norte;Dan;Lewis
556;10143;08/10/2003;2003;8;Enviado;Médio;3;7;32;5248;100;157;S18_1662;Aviões;C50553;Mini Creations Ltd.;F.5085559555;4575 Hillside Dr.;;New Bedford;MA;Estados Unidos;América do Norte;Wing C;Tam
557;10155;10/06/2003;2003;10;Enviado;Médio;4;5;38;6531.44;100;157;S18_1662;Aviões;C21240;Toys of Finland, Co.;F.90-224 8555;Keskuskatu 45;;Helsinki;;Finlandia;Europa, Oriente Médio e África;Matti;Karttunen
558;10167;10/23/2003;2003;10;Cancelado;Médio;4;1;43;5763.72;100;157;S18_1662;Aviões;CS-844 67;Scandinavian Gift Ideas;F.0695-34 6555;?kergatan 24;;Boras;;Suécia;Europa, Oriente Médio e África;Maria;Larsson
559;10397;3/28/2005;2005;3;Enviado;Médio;1;3;48;5192.64;100;100;S700_3505;Embarcações;C31000;Alpha Cognac;F.61.77.6555;1 rue Alsace-Lorraine;;Toulouse;;França;Europa, Oriente Médio e África;Annette;Roulet
560;10186;11/14/2003;2003;11;Enviado;Médio;4;1;32;6004.8;100;157;S18_1662;Aviões;CWA1 1DP;Double Decker Gift Stores, Ltd;F.(171) 555-7555;120 Hanover Sq.;;London;;Reino Unido;Europa, Oriente Médio e África;Thomas;Hardy
561;10198;11/27/2003;2003;11;Enviado;Grande;4;4;42;7483.98;100;157;S18_1662;Aviões;C1227 MM;Cruz & Sons Co.;F.+63 2 555 3587;15 McCallum Street - NatWest Center #13-03;;Makati City;;Filipinas;Japão;Arnold;Cruz
562;10210;01/12/2004;2004;1;Enviado;Médio;1;17;31;5719.5;100;157;S18_1662;Aviões;C530-0003;Osaka Souveniers Co.;F.+81 06 6342 5555;Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku;;Osaka;Osaka;Japão;Japão;Mory;Kentary
563;10222;2/19/2004;2004;2;Enviado;Médio;1;4;49;6954.08;100;157;S18_1662;Aviões;C91217;Collectable Mini Designs Co.;F.7605558146;361 Furth Circle;;San Diego;CA;Estados Unidos;América do Norte;Valarie;Thompson
564;10250;05/11/2004;2004;5;Enviado;Grande;2;14;45;8160.3;100;157;S18_1662;Aviões;C94217;The Sharp Gifts Warehouse;F.4085553659;3086 Ingle Ln.;;San Jose;CA;Estados Unidos;América do Norte;Sue;Frick
565;10262;6/24/2004;2004;6;Cancelado;Médio;2;9;49;6567.96;100;157;S18_1662;Aviões;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
566;10274;7/21/2004;2004;7;Enviado;Médio;3;1;41;6724;100;157;S18_1662;Aviões;C58339;Collectables For Less Inc.;F.6175558555;7825 Douglas Av.;;Brickhaven;MA;Estados Unidos;América do Norte;Allen;Nelson
567;10284;8/21/2004;2004;8;Enviado;Médio;3;11;45;5747.85;100;157;S18_1662;Aviões;CN 0106;Norway Gifts By Mail, Co.;F.+47 2212 1555;Drammensveien 126 A, PB 744 Sentrum;;Oslo;;Noruega;Europa, Oriente Médio e África;Jan;Klaeboe
568;10296;9/15/2004;2004;9;Enviado;Médio;3;7;36;5676.84;100;157;S18_1662;Aviões;C80686;Bavarian Collectables Imports, Co.;F.+49 89 61 08 9555;Hansastr. 15;;Munich;;Alemanha;Europa, Oriente Médio e África;Michael;Donnermeyer
569;10307;10/14/2004;2004;10;Enviado;Grande;4;1;39;7379.97;100;157;S18_1662;Aviões;C71270;Classic Gift Ideas, Inc;F.2155554695;782 First Street;;Philadelphia;PA;Estados Unidos;América do Norte;Francisca;Cervantes
570;10316;11/01/2004;2004;11;Enviado;Médio;4;9;27;3704.13;100;157;S18_1662;Aviões;CPO31 7PJ;giftsbymail.co.uk;F.(198) 555-8888;Garden House Crowther Way;;Cowes;Isle of Wight;Reino Unido;Europa, Oriente Médio e África;Helen;Bennett
571;10327;11/10/2004;2004;11;Resolvido;Pequeno;4;6;25;2804.75;100;157;S18_1662;Aviões;C1734;Danish Wholesale Imports;F.31 12 3555;Vinb'ltet 34;;Kobenhavn;;Dinamarca;Europa, Oriente Médio e África;Jytte;Petersen
572;10338;11/22/2004;2004;11;Enviado;Médio;4;1;41;5624.79;100;157;S18_1662;Aviões;CB-6000;Royale Belge;F.(071) 23 67 2555;Boulevard Tirou, 255;;Charleroi;;Bélgica;Europa, Oriente Médio e África;Pascale;Cartrain
573;10351;12/03/2004;2004;12;Enviado;Médio;4;1;39;3881.28;99.52;157;S18_1662;Aviões;CWX3 6FW;Stylish Desk Decors, Co.;F.(171) 555-0297;35 King George;;London;;Reino Unido;Europa, Oriente Médio e África;Ann;Brown
574;10373;1/31/2005;2005;1;Enviado;Pequeno;1;4;28;1611.4;57.55;157;S18_1662;Aviões;C90110;Oulu Toy Supplies, Inc.;F.981-443655;Torikatu 38;;Oulu;;Finlandia;Europa, Oriente Médio e África;Pirkko;Koskitalo
575;10386;03/01/2005;2005;3;Resolvido;Pequeno;1;7;25;1364.25;54.57;157;S18_1662;Aviões;C28034;Euro Shopping Channel;F.(91) 555 94 44;C/ Moralzarzal, 86;;Madrid;;Espanha;Europa, Oriente Médio e África;Diego;Freyre
576;10398;3/30/2005;2005;3;Enviado;Médio;1;11;33;4215.09;100;157;S18_1662;Aviões;C51100;Reims Collectables;F.26.47.1555;59 rue de l'Abbaye;;Reims;;França;Europa, Oriente Médio e África;Paul;Henriot
